Node name,Transistor density (transistors/mm2),Production year,Process,MOSFET,Manufacturer(s),Ref
Samsung 100 nm,?,2001,100 nm,CMOS,Samsung,
?,?,2002,90 nm,CMOS,"Sony, Toshiba, Samsung",
CS100,?,2003,90 nm,CMOS,Fujitsu,
Intel 90 nm,"1,450,000",2004,90 nm,CMOS,Intel,
Samsung 80 nm,?,2004,80 nm,CMOS,Samsung,
?,?,2004,65 nm,CMOS,"Fujitsu, Toshiba",
Samsung 60 nm,?,2004,60 nm,CMOS,Samsung,
TSMC 45 nm,?,2004,45 nm,CMOS,TSMC,
Elpida 90 nm,?,2005,90 nm,CMOS,Elpida Memory,
CS200,?,2005,65 nm,CMOS,Fujitsu,
Samsung 50 nm,?,2005,50 nm,CMOS,Samsung,
Intel 65 nm,"2,080,000",2006,65 nm,CMOS,Intel,
Samsung 40 nm,?,2006,40 nm,CMOS,Samsung,
Toshiba 56 nm,?,2007,56 nm,CMOS,Toshiba,
Matsushita 45 nm,?,2007,45 nm,CMOS,Matsushita,
Intel 45 nm,"3,300,000",2008,45 nm,CMOS,Intel,
Toshiba 43 nm,?,2008,43 nm,CMOS,Toshiba,
TSMC 40 nm,?,2008,40 nm,CMOS,TSMC,
Toshiba 32 nm,?,2009,32 nm,CMOS,Toshiba,
Intel 32 nm,"7,500,000",2010,32 nm,CMOS,Intel,
?,?,2010,20 nm,CMOS,"Hynix, Samsung",
Intel 22 nm,"15,300,000",2012,22 nm,CMOS,Intel,
IMFT 20 nm,?,2012,20 nm,CMOS,IMFT,
Toshiba 19 nm,?,2012,19 nm,CMOS,Toshiba,
Hynix 16 nm,?,2013,16 nm,FinFET,SK Hynix,
TSMC 16 nm,"28,880,000",2013,16 nm,FinFET,TSMC,
Samsung 10 nm,"51,820,000",2013,10 nm,FinFET,Samsung,
Intel 14 nm,"37,500,000",2014,14 nm,FinFET,Intel,
14LP,"32,940,000",2015,14 nm,FinFET,Samsung,
TSMC 10 nm,"52,510,000",2016,10 nm,FinFET,TSMC,
12LP,"36,710,000",2017,12 nm,FinFET,"GlobalFoundries, Samsung",
N7FF,"96,500,000
101,850,000",2017,7 nm,FinFET,TSMC,
8LPP,"61,180,000",2018,8 nm,FinFET,Samsung,
7LPE,"95,300,000",2018,7 nm,FinFET,Samsung,
Intel 10 nm,"100,760,000
106,100,000",2018,10 nm,FinFET,Intel,
5LPE,"126,530,000
133,560,000 
134,900,000",2018,5 nm,FinFET,Samsung,
N7FF+,"113,900,000",2019,7 nm,FinFET,TSMC,
CLN5FF,"171,300,000
185,460,000",2019,5 nm,FinFET,TSMC,
Intel 7,"100,760,000
106,100,000",2021,7 nm,FinFET,Intel,
4LPE,"145,700,000",2021,4 nm,FinFET,Samsung,
N4,"196,600,000",2021,4 nm,FinFET,TSMC,
N4P,"196,600,000",2022,4 nm,FinFET,TSMC,
3GAE,"202,850,000",2022,3 nm,MBCFET,Samsung,
N3,"314,730,000",2022,3 nm,FinFET,TSMC,
N4X,?,2023,4 nm,FinFET,TSMC,
N3E,?,2023,3 nm,FinFET,TSMC,
3GAP,?,2023,3 nm,MBCFET,Samsung,
Intel 4,"160,000,000",2023,4 nm,FinFET,Intel,
Intel 3,?,2023,3 nm,FinFET,Intel,
Intel 20A,?,2024,2 nm,RibbonFET,Intel,
Intel 18A,?,2025,sub-2 nm,RibbonFET,Intel,
2GAP,?,2025,2 nm,MBCFET,Samsung,
N2,?,2025,2 nm,GAAFET,TSMC,
Samsung 1.4 nm,?,2027,1.4 nm,?,Samsung,
